id,split,question,answer,has_options
train_817,train,How is influenza diagnosed?,influenza is diagnosed through clinical evaluation and laboratory tests.,True
train_818,train,What causes diabetes?,"Genetic factors, lifestyle, and environmental factors contribute to diabetes.",True
train_819,train,What are the symptoms of cancer?,"nausea, chest_pain, shortness_of_breath",True
train_820,train,What are the symptoms of pneumonia?,"fever, fatigue, nausea",True
train_821,train,What are the symptoms of stroke?,"chest_pain, fever, pain",True
train_822,train,What causes influenza?,"Genetic factors, lifestyle, and environmental factors contribute to influenza.",True
train_823,train,What are the symptoms of stroke?,"pain, joint_pain, fatigue",True
train_824,train,What causes depression?,"Genetic factors, lifestyle, and environmental factors contribute to depression.",True
train_825,train,What are the symptoms of cancer?,"shortness_of_breath, fatigue, chest_pain",True
train_826,train,What causes stroke?,"Genetic factors, lifestyle, and environmental factors contribute to stroke.",True
train_827,train,How is depression treated?,"aspirin, radiation",True
train_828,train,What causes depression?,"Genetic factors, lifestyle, and environmental factors contribute to depression.",True
train_829,train,What are the symptoms of stroke?,"joint_pain, fever, chest_pain",True
train_830,train,What causes migraine?,"Genetic factors, lifestyle, and environmental factors contribute to migraine.",True
train_831,train,How is depression treated?,"antibiotics, ibuprofen",True
train_832,train,How is arthritis treated?,"ibuprofen, chemotherapy",True
train_833,train,How is pneumonia diagnosed?,pneumonia is diagnosed through clinical evaluation and laboratory tests.,True
train_834,train,How is influenza treated?,"chemotherapy, antibiotics",True
train_835,train,What are the risk factors for migraine?,"Genetic factors, lifestyle, and environmental factors contribute to migraine.",True
train_836,train,How is pneumonia treated?,"antibiotics, ibuprofen",True
train_837,train,What are the risk factors for asthma?,"Genetic factors, lifestyle, and environmental factors contribute to asthma.",True
train_838,train,What are the symptoms of asthma?,"joint_pain, shortness_of_breath, chest_pain",True
train_839,train,What are the symptoms of cancer?,"chest_pain, headache, cough",True
train_840,train,How is arthritis treated?,"antibiotics, surgery",True
train_841,train,What causes stroke?,"Genetic factors, lifestyle, and environmental factors contribute to stroke.",True
train_842,train,How is stroke treated?,"insulin, radiation",True
train_843,train,What causes migraine?,"Genetic factors, lifestyle, and environmental factors contribute to migraine.",True
train_844,train,How is depression diagnosed?,depression is diagnosed through clinical evaluation and laboratory tests.,True
train_845,train,What causes influenza?,"Genetic factors, lifestyle, and environmental factors contribute to influenza.",True
train_846,train,What are the symptoms of cancer?,"fatigue, shortness_of_breath, nausea",True
train_847,train,What are the risk factors for asthma?,"Genetic factors, lifestyle, and environmental factors contribute to asthma.",True
train_848,train,What are the symptoms of depression?,"nausea, fatigue, cough",True
train_849,train,How is arthritis treated?,"physical_therapy, surgery",True
train_850,train,What causes diabetes?,"Genetic factors, lifestyle, and environmental factors contribute to diabetes.",True
train_851,train,What causes cancer?,"Genetic factors, lifestyle, and environmental factors contribute to cancer.",True
train_852,train,What are the risk factors for asthma?,"Genetic factors, lifestyle, and environmental factors contribute to asthma.",True
train_853,train,What causes arthritis?,"Genetic factors, lifestyle, and environmental factors contribute to arthritis.",True
train_854,train,How is stroke diagnosed?,stroke is diagnosed through clinical evaluation and laboratory tests.,True
train_855,train,How is cancer diagnosed?,cancer is diagnosed through clinical evaluation and laboratory tests.,True
train_856,train,What are the symptoms of cancer?,"pain, dizziness, headache",True
train_857,train,What are the risk factors for migraine?,"Genetic factors, lifestyle, and environmental factors contribute to migraine.",True
train_858,train,What causes asthma?,"Genetic factors, lifestyle, and environmental factors contribute to asthma.",True
train_859,train,What are the symptoms of hypertension?,"dizziness, fatigue, chest_pain",True
train_860,train,How is influenza diagnosed?,influenza is diagnosed through clinical evaluation and laboratory tests.,True
train_861,train,How is cancer diagnosed?,cancer is diagnosed through clinical evaluation and laboratory tests.,True
train_862,train,What are the symptoms of pneumonia?,"shortness_of_breath, cough, joint_pain",True
train_863,train,What are the risk factors for stroke?,"Genetic factors, lifestyle, and environmental factors contribute to stroke.",True
train_864,train,What causes asthma?,"Genetic factors, lifestyle, and environmental factors contribute to asthma.",True
train_865,train,What causes asthma?,"Genetic factors, lifestyle, and environmental factors contribute to asthma.",True
train_866,train,How is migraine diagnosed?,migraine is diagnosed through clinical evaluation and laboratory tests.,True
train_867,train,What causes pneumonia?,"Genetic factors, lifestyle, and environmental factors contribute to pneumonia.",True
train_868,train,What causes stroke?,"Genetic factors, lifestyle, and environmental factors contribute to stroke.",True
train_869,train,What are the symptoms of hypertension?,"cough, joint_pain, nausea",True
train_870,train,What are the risk factors for stroke?,"Genetic factors, lifestyle, and environmental factors contribute to stroke.",True
train_871,train,How is migraine treated?,"ibuprofen, radiation",True
train_872,train,How is cancer diagnosed?,cancer is diagnosed through clinical evaluation and laboratory tests.,True
train_873,train,What are the risk factors for depression?,"Genetic factors, lifestyle, and environmental factors contribute to depression.",True
train_874,train,What are the symptoms of stroke?,"chest_pain, shortness_of_breath, nausea",True
train_875,train,How is stroke diagnosed?,stroke is diagnosed through clinical evaluation and laboratory tests.,True
train_876,train,What are the risk factors for stroke?,"Genetic factors, lifestyle, and environmental factors contribute to stroke.",True
train_877,train,What causes depression?,"Genetic factors, lifestyle, and environmental factors contribute to depression.",True
train_878,train,What are the risk factors for cancer?,"Genetic factors, lifestyle, and environmental factors contribute to cancer.",True
train_879,train,How is hypertension diagnosed?,hypertension is diagnosed through clinical evaluation and laboratory tests.,True
train_880,train,How is stroke diagnosed?,stroke is diagnosed through clinical evaluation and laboratory tests.,True
train_881,train,How is diabetes treated?,"radiation, surgery",True
train_882,train,What are the symptoms of depression?,"shortness_of_breath, fatigue, dizziness",True
train_883,train,How is arthritis treated?,"physical_therapy, aspirin",True
train_884,train,How is depression diagnosed?,depression is diagnosed through clinical evaluation and laboratory tests.,True
train_885,train,What are the risk factors for stroke?,"Genetic factors, lifestyle, and environmental factors contribute to stroke.",True
train_886,train,How is pneumonia diagnosed?,pneumonia is diagnosed through clinical evaluation and laboratory tests.,True
train_887,train,How is diabetes diagnosed?,diabetes is diagnosed through clinical evaluation and laboratory tests.,True
train_888,train,What are the symptoms of influenza?,"fatigue, headache, fever",True
train_889,train,How is influenza treated?,"antivirals, ibuprofen",True
train_890,train,How is hypertension treated?,"ibuprofen, physical_therapy",True
train_891,train,What causes stroke?,"Genetic factors, lifestyle, and environmental factors contribute to stroke.",True
train_892,train,What are the risk factors for asthma?,"Genetic factors, lifestyle, and environmental factors contribute to asthma.",True
train_893,train,What causes diabetes?,"Genetic factors, lifestyle, and environmental factors contribute to diabetes.",True
train_894,train,What causes pneumonia?,"Genetic factors, lifestyle, and environmental factors contribute to pneumonia.",True
train_895,train,What causes arthritis?,"Genetic factors, lifestyle, and environmental factors contribute to arthritis.",True
train_896,train,What causes depression?,"Genetic factors, lifestyle, and environmental factors contribute to depression.",True
train_897,train,What causes arthritis?,"Genetic factors, lifestyle, and environmental factors contribute to arthritis.",True
train_898,train,How is depression treated?,"vaccination, insulin",True
train_899,train,What are the risk factors for arthritis?,"Genetic factors, lifestyle, and environmental factors contribute to arthritis.",True
train_900,train,What causes stroke?,"Genetic factors, lifestyle, and environmental factors contribute to stroke.",True
train_901,train,How is cancer diagnosed?,cancer is diagnosed through clinical evaluation and laboratory tests.,True
train_902,train,What causes asthma?,"Genetic factors, lifestyle, and environmental factors contribute to asthma.",True
train_903,train,How is hypertension treated?,"insulin, vaccination",True
train_904,train,What causes arthritis?,"Genetic factors, lifestyle, and environmental factors contribute to arthritis.",True
train_905,train,How is arthritis diagnosed?,arthritis is diagnosed through clinical evaluation and laboratory tests.,True
train_906,train,How is hypertension diagnosed?,hypertension is diagnosed through clinical evaluation and laboratory tests.,True
train_907,train,What are the symptoms of depression?,"headache, dizziness, pain",True
train_908,train,What causes hypertension?,"Genetic factors, lifestyle, and environmental factors contribute to hypertension.",True
train_909,train,How is migraine treated?,"ibuprofen, chemotherapy",True
train_910,train,What are the symptoms of cancer?,"pain, chest_pain, headache",True
train_911,train,What are the symptoms of hypertension?,"dizziness, chest_pain, shortness_of_breath",True
train_912,train,What causes depression?,"Genetic factors, lifestyle, and environmental factors contribute to depression.",True
train_913,train,How is influenza treated?,"antibiotics, surgery",True
train_914,train,How is influenza diagnosed?,influenza is diagnosed through clinical evaluation and laboratory tests.,True
train_915,train,What causes influenza?,"Genetic factors, lifestyle, and environmental factors contribute to influenza.",True
train_916,train,How is depression diagnosed?,depression is diagnosed through clinical evaluation and laboratory tests.,True
train_917,train,What are the risk factors for influenza?,"Genetic factors, lifestyle, and environmental factors contribute to influenza.",True
train_918,train,How is influenza treated?,"ibuprofen, surgery",True
train_919,train,What causes influenza?,"Genetic factors, lifestyle, and environmental factors contribute to influenza.",True
train_920,train,What are the symptoms of arthritis?,"nausea, dizziness, shortness_of_breath",True
train_921,train,What are the risk factors for cancer?,"Genetic factors, lifestyle, and environmental factors contribute to cancer.",True
train_922,train,How is pneumonia diagnosed?,pneumonia is diagnosed through clinical evaluation and laboratory tests.,True
train_923,train,What are the risk factors for migraine?,"Genetic factors, lifestyle, and environmental factors contribute to migraine.",True
train_924,train,How is migraine diagnosed?,migraine is diagnosed through clinical evaluation and laboratory tests.,True
train_925,train,What are the symptoms of diabetes?,"fever, fatigue, pain",True
train_926,train,How is pneumonia treated?,"vaccination, physical_therapy",True
train_927,train,How is cancer diagnosed?,cancer is diagnosed through clinical evaluation and laboratory tests.,True
train_928,train,What causes influenza?,"Genetic factors, lifestyle, and environmental factors contribute to influenza.",True
train_929,train,What are the risk factors for influenza?,"Genetic factors, lifestyle, and environmental factors contribute to influenza.",True
train_930,train,How is influenza diagnosed?,influenza is diagnosed through clinical evaluation and laboratory tests.,True
train_931,train,How is stroke diagnosed?,stroke is diagnosed through clinical evaluation and laboratory tests.,True
train_932,train,How is diabetes diagnosed?,diabetes is diagnosed through clinical evaluation and laboratory tests.,True
train_933,train,What are the risk factors for pneumonia?,"Genetic factors, lifestyle, and environmental factors contribute to pneumonia.",True
train_934,train,How is stroke diagnosed?,stroke is diagnosed through clinical evaluation and laboratory tests.,True
train_935,train,How is hypertension treated?,"physical_therapy, aspirin",True
train_936,train,What are the symptoms of diabetes?,"cough, fatigue, nausea",True
train_937,train,How is cancer treated?,"vaccination, chemotherapy",True
train_938,train,How is pneumonia treated?,"radiation, surgery",True
train_939,train,What are the symptoms of migraine?,"nausea, pain, chest_pain",True
train_940,train,What are the symptoms of diabetes?,"shortness_of_breath, chest_pain, dizziness",True
train_941,train,How is depression diagnosed?,depression is diagnosed through clinical evaluation and laboratory tests.,True
train_942,train,What are the symptoms of migraine?,"headache, fever, chest_pain",True
train_943,train,How is depression treated?,"insulin, antibiotics",True
train_944,train,How is asthma treated?,"antivirals, surgery",True
train_945,train,What are the risk factors for cancer?,"Genetic factors, lifestyle, and environmental factors contribute to cancer.",True
train_946,train,How is stroke diagnosed?,stroke is diagnosed through clinical evaluation and laboratory tests.,True
train_947,train,How is migraine diagnosed?,migraine is diagnosed through clinical evaluation and laboratory tests.,True
train_948,train,How is stroke treated?,"ibuprofen, antibiotics",True
train_949,train,How is diabetes treated?,"antivirals, aspirin",True
train_950,train,What are the risk factors for migraine?,"Genetic factors, lifestyle, and environmental factors contribute to migraine.",True
train_951,train,How is diabetes diagnosed?,diabetes is diagnosed through clinical evaluation and laboratory tests.,True
train_952,train,What are the risk factors for cancer?,"Genetic factors, lifestyle, and environmental factors contribute to cancer.",True
train_953,train,How is migraine treated?,"antibiotics, surgery",True
train_954,train,What are the risk factors for hypertension?,"Genetic factors, lifestyle, and environmental factors contribute to hypertension.",True
train_955,train,What are the risk factors for arthritis?,"Genetic factors, lifestyle, and environmental factors contribute to arthritis.",True
train_956,train,What are the symptoms of migraine?,"pain, nausea, chest_pain",True
train_957,train,How is migraine diagnosed?,migraine is diagnosed through clinical evaluation and laboratory tests.,True
train_958,train,What are the symptoms of diabetes?,"shortness_of_breath, headache, pain",True
train_959,train,How is cancer diagnosed?,cancer is diagnosed through clinical evaluation and laboratory tests.,True
train_960,train,What are the risk factors for diabetes?,"Genetic factors, lifestyle, and environmental factors contribute to diabetes.",True
train_961,train,What are the symptoms of cancer?,"pain, dizziness, headache",True
train_962,train,What causes asthma?,"Genetic factors, lifestyle, and environmental factors contribute to asthma.",True
train_963,train,What causes migraine?,"Genetic factors, lifestyle, and environmental factors contribute to migraine.",True
train_964,train,What are the symptoms of diabetes?,"fatigue, cough, fever",True
train_965,train,What are the symptoms of asthma?,"fatigue, nausea, headache",True
train_966,train,What causes influenza?,"Genetic factors, lifestyle, and environmental factors contribute to influenza.",True
train_967,train,How is migraine diagnosed?,migraine is diagnosed through clinical evaluation and laboratory tests.,True
train_968,train,What causes diabetes?,"Genetic factors, lifestyle, and environmental factors contribute to diabetes.",True
train_969,train,How is influenza diagnosed?,influenza is diagnosed through clinical evaluation and laboratory tests.,True
train_970,train,What are the risk factors for hypertension?,"Genetic factors, lifestyle, and environmental factors contribute to hypertension.",True
train_971,train,How is asthma diagnosed?,asthma is diagnosed through clinical evaluation and laboratory tests.,True
train_972,train,How is pneumonia treated?,"radiation, antibiotics",True
train_973,train,How is pneumonia diagnosed?,pneumonia is diagnosed through clinical evaluation and laboratory tests.,True
train_974,train,How is asthma treated?,"insulin, radiation",True
train_975,train,What are the symptoms of influenza?,"dizziness, pain, fever",True
train_976,train,How is influenza diagnosed?,influenza is diagnosed through clinical evaluation and laboratory tests.,True
train_977,train,What are the risk factors for influenza?,"Genetic factors, lifestyle, and environmental factors contribute to influenza.",True
train_978,train,How is cancer treated?,"vaccination, insulin",True
train_979,train,What are the risk factors for asthma?,"Genetic factors, lifestyle, and environmental factors contribute to asthma.",True
train_980,train,How is asthma treated?,"radiation, chemotherapy",True
train_981,train,How is migraine treated?,"antibiotics, insulin",True
train_982,train,What are the risk factors for stroke?,"Genetic factors, lifestyle, and environmental factors contribute to stroke.",True
train_983,train,How is cancer diagnosed?,cancer is diagnosed through clinical evaluation and laboratory tests.,True
train_984,train,How is diabetes diagnosed?,diabetes is diagnosed through clinical evaluation and laboratory tests.,True
train_985,train,What are the risk factors for depression?,"Genetic factors, lifestyle, and environmental factors contribute to depression.",True
train_986,train,How is diabetes diagnosed?,diabetes is diagnosed through clinical evaluation and laboratory tests.,True
train_987,train,What are the risk factors for depression?,"Genetic factors, lifestyle, and environmental factors contribute to depression.",True
train_988,train,How is stroke treated?,"vaccination, antibiotics",True
train_989,train,How is migraine diagnosed?,migraine is diagnosed through clinical evaluation and laboratory tests.,True
train_990,train,What are the risk factors for hypertension?,"Genetic factors, lifestyle, and environmental factors contribute to hypertension.",True
train_991,train,What causes asthma?,"Genetic factors, lifestyle, and environmental factors contribute to asthma.",True
train_992,train,How is influenza treated?,"chemotherapy, ibuprofen",True
train_993,train,What are the risk factors for arthritis?,"Genetic factors, lifestyle, and environmental factors contribute to arthritis.",True
train_994,train,What causes influenza?,"Genetic factors, lifestyle, and environmental factors contribute to influenza.",True
train_995,train,What are the risk factors for depression?,"Genetic factors, lifestyle, and environmental factors contribute to depression.",True
train_996,train,What are the symptoms of arthritis?,"chest_pain, joint_pain, pain",True
train_997,train,What are the risk factors for influenza?,"Genetic factors, lifestyle, and environmental factors contribute to influenza.",True
train_998,train,How is depression diagnosed?,depression is diagnosed through clinical evaluation and laboratory tests.,True
train_999,train,What are the symptoms of stroke?,"nausea, cough, chest_pain",True
train_1000,train,What are the risk factors for depression?,"Genetic factors, lifestyle, and environmental factors contribute to depression.",True
train_1001,train,What are the symptoms of diabetes?,"dizziness, fatigue, shortness_of_breath",True
train_1002,train,What are the symptoms of diabetes?,"dizziness, fatigue, cough",True
train_1003,train,What are the risk factors for influenza?,"Genetic factors, lifestyle, and environmental factors contribute to influenza.",True
train_1004,train,What are the risk factors for depression?,"Genetic factors, lifestyle, and environmental factors contribute to depression.",True
train_1005,train,What are the risk factors for diabetes?,"Genetic factors, lifestyle, and environmental factors contribute to diabetes.",True
train_1006,train,What causes influenza?,"Genetic factors, lifestyle, and environmental factors contribute to influenza.",True
train_1007,train,What are the risk factors for depression?,"Genetic factors, lifestyle, and environmental factors contribute to depression.",True
train_1008,train,How is depression treated?,"surgery, antibiotics",True
train_1009,train,How is hypertension treated?,"ibuprofen, surgery",True
train_1010,train,What causes asthma?,"Genetic factors, lifestyle, and environmental factors contribute to asthma.",True
train_1011,train,What are the symptoms of asthma?,"pain, nausea, fever",True
train_1012,train,What causes diabetes?,"Genetic factors, lifestyle, and environmental factors contribute to diabetes.",True
train_1013,train,What are the symptoms of hypertension?,"dizziness, fever, joint_pain",True
train_1014,train,What causes pneumonia?,"Genetic factors, lifestyle, and environmental factors contribute to pneumonia.",True
train_1015,train,What are the risk factors for pneumonia?,"Genetic factors, lifestyle, and environmental factors contribute to pneumonia.",True
train_1016,train,How is stroke diagnosed?,stroke is diagnosed through clinical evaluation and laboratory tests.,True
train_1017,train,What causes hypertension?,"Genetic factors, lifestyle, and environmental factors contribute to hypertension.",True
train_1018,train,What causes depression?,"Genetic factors, lifestyle, and environmental factors contribute to depression.",True
train_1019,train,What are the risk factors for cancer?,"Genetic factors, lifestyle, and environmental factors contribute to cancer.",True
train_1020,train,How is hypertension diagnosed?,hypertension is diagnosed through clinical evaluation and laboratory tests.,True
train_1021,train,How is asthma treated?,"antivirals, vaccination",True
train_1022,train,How is migraine diagnosed?,migraine is diagnosed through clinical evaluation and laboratory tests.,True
train_1023,train,What causes hypertension?,"Genetic factors, lifestyle, and environmental factors contribute to hypertension.",True
train_1024,train,What are the risk factors for migraine?,"Genetic factors, lifestyle, and environmental factors contribute to migraine.",True
train_1025,train,How is depression treated?,"insulin, antibiotics",True
train_1026,train,How is stroke diagnosed?,stroke is diagnosed through clinical evaluation and laboratory tests.,True
train_1027,train,What causes depression?,"Genetic factors, lifestyle, and environmental factors contribute to depression.",True
train_1028,train,How is asthma treated?,"surgery, ibuprofen",True
train_1029,train,What causes depression?,"Genetic factors, lifestyle, and environmental factors contribute to depression.",True
train_1030,train,What are the symptoms of depression?,"joint_pain, fever, headache",True
train_1031,train,How is cancer diagnosed?,cancer is diagnosed through clinical evaluation and laboratory tests.,True
train_1032,train,What are the symptoms of migraine?,"pain, fatigue, nausea",True
train_1033,train,How is arthritis diagnosed?,arthritis is diagnosed through clinical evaluation and laboratory tests.,True
train_1034,train,What are the symptoms of migraine?,"cough, nausea, fatigue",True
train_1035,train,What are the symptoms of stroke?,"nausea, fever, shortness_of_breath",True
train_1036,train,What are the risk factors for arthritis?,"Genetic factors, lifestyle, and environmental factors contribute to arthritis.",True
train_1037,train,What are the symptoms of migraine?,"dizziness, fatigue, fever",True
train_1038,train,What causes hypertension?,"Genetic factors, lifestyle, and environmental factors contribute to hypertension.",True
train_1039,train,What causes arthritis?,"Genetic factors, lifestyle, and environmental factors contribute to arthritis.",True
train_1040,train,What are the symptoms of stroke?,"pain, fever, chest_pain",True
train_1041,train,How is influenza diagnosed?,influenza is diagnosed through clinical evaluation and laboratory tests.,True
train_1042,train,What are the risk factors for diabetes?,"Genetic factors, lifestyle, and environmental factors contribute to diabetes.",True
train_1043,train,How is diabetes diagnosed?,diabetes is diagnosed through clinical evaluation and laboratory tests.,True
train_1044,train,What are the risk factors for arthritis?,"Genetic factors, lifestyle, and environmental factors contribute to arthritis.",True
train_1045,train,How is stroke diagnosed?,stroke is diagnosed through clinical evaluation and laboratory tests.,True
train_1046,train,What are the risk factors for depression?,"Genetic factors, lifestyle, and environmental factors contribute to depression.",True
train_1047,train,How is arthritis treated?,"aspirin, ibuprofen",True
train_1048,train,What causes pneumonia?,"Genetic factors, lifestyle, and environmental factors contribute to pneumonia.",True
train_1049,train,What are the risk factors for stroke?,"Genetic factors, lifestyle, and environmental factors contribute to stroke.",True
train_1050,train,What causes arthritis?,"Genetic factors, lifestyle, and environmental factors contribute to arthritis.",True
train_1051,train,How is migraine diagnosed?,migraine is diagnosed through clinical evaluation and laboratory tests.,True
train_1052,train,What are the symptoms of pneumonia?,"cough, fever, chest_pain",True
train_1053,train,How is asthma treated?,"ibuprofen, insulin",True
train_1054,train,How is asthma diagnosed?,asthma is diagnosed through clinical evaluation and laboratory tests.,True
train_1055,train,How is cancer diagnosed?,cancer is diagnosed through clinical evaluation and laboratory tests.,True
train_1056,train,How is cancer diagnosed?,cancer is diagnosed through clinical evaluation and laboratory tests.,True
train_1057,train,How is hypertension treated?,"aspirin, surgery",True
train_1058,train,What are the risk factors for hypertension?,"Genetic factors, lifestyle, and environmental factors contribute to hypertension.",True
train_1059,train,What are the symptoms of stroke?,"nausea, pain, shortness_of_breath",True
train_1060,train,What are the risk factors for asthma?,"Genetic factors, lifestyle, and environmental factors contribute to asthma.",True
train_1061,train,What causes hypertension?,"Genetic factors, lifestyle, and environmental factors contribute to hypertension.",True
train_1062,train,How is pneumonia treated?,"radiation, physical_therapy",True
train_1063,train,What causes diabetes?,"Genetic factors, lifestyle, and environmental factors contribute to diabetes.",True
train_1064,train,What are the risk factors for migraine?,"Genetic factors, lifestyle, and environmental factors contribute to migraine.",True
train_1065,train,How is pneumonia treated?,"chemotherapy, vaccination",True
train_1066,train,How is migraine treated?,"radiation, aspirin",True
train_1067,train,How is asthma diagnosed?,asthma is diagnosed through clinical evaluation and laboratory tests.,True
train_1068,train,How is asthma treated?,"radiation, antibiotics",True
train_1069,train,How is depression diagnosed?,depression is diagnosed through clinical evaluation and laboratory tests.,True
train_1070,train,What are the risk factors for cancer?,"Genetic factors, lifestyle, and environmental factors contribute to cancer.",True
train_1071,train,How is stroke diagnosed?,stroke is diagnosed through clinical evaluation and laboratory tests.,True
train_1072,train,What are the symptoms of stroke?,"cough, fatigue, fever",True
train_1073,train,What causes hypertension?,"Genetic factors, lifestyle, and environmental factors contribute to hypertension.",True
train_1074,train,How is cancer treated?,"antibiotics, insulin",True
train_1075,train,How is cancer treated?,"insulin, chemotherapy",True
train_1076,train,What are the symptoms of hypertension?,"fever, cough, dizziness",True
train_1077,train,How is arthritis treated?,"insulin, antibiotics",True
train_1078,train,What are the symptoms of pneumonia?,"dizziness, shortness_of_breath, joint_pain",True
train_1079,train,How is arthritis diagnosed?,arthritis is diagnosed through clinical evaluation and laboratory tests.,True
train_1080,train,What causes arthritis?,"Genetic factors, lifestyle, and environmental factors contribute to arthritis.",True
train_1081,train,How is migraine diagnosed?,migraine is diagnosed through clinical evaluation and laboratory tests.,True
train_1082,train,What are the risk factors for diabetes?,"Genetic factors, lifestyle, and environmental factors contribute to diabetes.",True
train_1083,train,What are the risk factors for migraine?,"Genetic factors, lifestyle, and environmental factors contribute to migraine.",True
train_1084,train,How is migraine diagnosed?,migraine is diagnosed through clinical evaluation and laboratory tests.,True
train_1085,train,What are the symptoms of diabetes?,"fever, chest_pain, dizziness",True
train_1086,train,What are the risk factors for diabetes?,"Genetic factors, lifestyle, and environmental factors contribute to diabetes.",True
train_1087,train,What are the symptoms of asthma?,"headache, fever, shortness_of_breath",True
train_1088,train,What are the risk factors for cancer?,"Genetic factors, lifestyle, and environmental factors contribute to cancer.",True
train_1089,train,What are the symptoms of depression?,"chest_pain, joint_pain, dizziness",True
train_1090,train,How is pneumonia diagnosed?,pneumonia is diagnosed through clinical evaluation and laboratory tests.,True
train_1091,train,What causes migraine?,"Genetic factors, lifestyle, and environmental factors contribute to migraine.",True
train_1092,train,What causes migraine?,"Genetic factors, lifestyle, and environmental factors contribute to migraine.",True
train_1093,train,How is depression treated?,"insulin, physical_therapy",True
train_1094,train,How is diabetes treated?,"ibuprofen, radiation",True
train_1095,train,What are the risk factors for pneumonia?,"Genetic factors, lifestyle, and environmental factors contribute to pneumonia.",True
train_1096,train,What are the symptoms of pneumonia?,"headache, chest_pain, pain",True
train_1097,train,How is cancer diagnosed?,cancer is diagnosed through clinical evaluation and laboratory tests.,True
train_1098,train,What are the risk factors for pneumonia?,"Genetic factors, lifestyle, and environmental factors contribute to pneumonia.",True
train_1099,train,What causes depression?,"Genetic factors, lifestyle, and environmental factors contribute to depression.",True
train_1100,train,How is asthma diagnosed?,asthma is diagnosed through clinical evaluation and laboratory tests.,True
train_1101,train,How is influenza treated?,"chemotherapy, surgery",True
train_1102,train,What causes influenza?,"Genetic factors, lifestyle, and environmental factors contribute to influenza.",True
train_1103,train,What causes migraine?,"Genetic factors, lifestyle, and environmental factors contribute to migraine.",True
train_1104,train,What causes migraine?,"Genetic factors, lifestyle, and environmental factors contribute to migraine.",True
train_1105,train,How is stroke treated?,"radiation, insulin",True
train_1106,train,What causes diabetes?,"Genetic factors, lifestyle, and environmental factors contribute to diabetes.",True
train_1107,train,What causes influenza?,"Genetic factors, lifestyle, and environmental factors contribute to influenza.",True
train_1108,train,What causes pneumonia?,"Genetic factors, lifestyle, and environmental factors contribute to pneumonia.",True
train_1109,train,What are the risk factors for migraine?,"Genetic factors, lifestyle, and environmental factors contribute to migraine.",True
train_1110,train,What are the symptoms of pneumonia?,"pain, headache, dizziness",True
train_1111,train,What are the symptoms of arthritis?,"headache, pain, dizziness",True
train_1112,train,What causes stroke?,"Genetic factors, lifestyle, and environmental factors contribute to stroke.",True
train_1113,train,What are the symptoms of depression?,"nausea, chest_pain, pain",True
train_1114,train,What are the symptoms of asthma?,"shortness_of_breath, pain, headache",True
train_1115,train,What are the risk factors for pneumonia?,"Genetic factors, lifestyle, and environmental factors contribute to pneumonia.",True
train_1116,train,What are the symptoms of influenza?,"fever, dizziness, chest_pain",True
train_1117,train,What are the symptoms of migraine?,"fatigue, cough, shortness_of_breath",True
train_1118,train,What are the risk factors for cancer?,"Genetic factors, lifestyle, and environmental factors contribute to cancer.",True
train_1119,train,What causes hypertension?,"Genetic factors, lifestyle, and environmental factors contribute to hypertension.",True
train_1120,train,What are the symptoms of pneumonia?,"chest_pain, dizziness, cough",True
train_1121,train,How is stroke diagnosed?,stroke is diagnosed through clinical evaluation and laboratory tests.,True
train_1122,train,How is diabetes treated?,"radiation, aspirin",True
train_1123,train,How is cancer treated?,"surgery, radiation",True
train_1124,train,What causes pneumonia?,"Genetic factors, lifestyle, and environmental factors contribute to pneumonia.",True
train_1125,train,How is hypertension diagnosed?,hypertension is diagnosed through clinical evaluation and laboratory tests.,True
train_1126,train,How is pneumonia treated?,"chemotherapy, antivirals",True
train_1127,train,How is migraine treated?,"aspirin, surgery",True
train_1128,train,What are the symptoms of arthritis?,"nausea, shortness_of_breath, chest_pain",True
train_1129,train,How is arthritis diagnosed?,arthritis is diagnosed through clinical evaluation and laboratory tests.,True
train_1130,train,What are the risk factors for migraine?,"Genetic factors, lifestyle, and environmental factors contribute to migraine.",True
train_1131,train,What causes diabetes?,"Genetic factors, lifestyle, and environmental factors contribute to diabetes.",True
train_1132,train,How is arthritis treated?,"surgery, aspirin",True
train_1133,train,How is hypertension diagnosed?,hypertension is diagnosed through clinical evaluation and laboratory tests.,True
train_1134,train,What are the risk factors for depression?,"Genetic factors, lifestyle, and environmental factors contribute to depression.",True
train_1135,train,What are the symptoms of stroke?,"shortness_of_breath, nausea, pain",True
train_1136,train,How is depression treated?,"surgery, ibuprofen",True
train_1137,train,How is migraine diagnosed?,migraine is diagnosed through clinical evaluation and laboratory tests.,True
train_1138,train,What are the symptoms of asthma?,"fatigue, joint_pain, cough",True
train_1139,train,How is migraine treated?,"aspirin, vaccination",True
train_1140,train,What are the risk factors for depression?,"Genetic factors, lifestyle, and environmental factors contribute to depression.",True
train_1141,train,What causes asthma?,"Genetic factors, lifestyle, and environmental factors contribute to asthma.",True
train_1142,train,How is influenza treated?,"aspirin, ibuprofen",True
train_1143,train,What are the symptoms of asthma?,"fatigue, cough, joint_pain",True
train_1144,train,What are the risk factors for diabetes?,"Genetic factors, lifestyle, and environmental factors contribute to diabetes.",True
train_1145,train,How is diabetes treated?,"antibiotics, chemotherapy",True
train_1146,train,What are the symptoms of stroke?,"joint_pain, headache, fever",True
